,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Palana,99,RU,1582168711,88,59.12,159.97,-6.25,0.98
1,Vaini,20,TO,1582168711,65,-21.2,-175.2,82.4,10.29
2,Ushuaia,90,AR,1582168696,87,-54.8,-68.3,48.2,24.16
3,Dwarka,0,IN,1582168712,71,22.24,68.97,74.73,10.8
4,Cooma,0,AU,1582168712,48,-36.23,149.13,60.8,10.29
5,Jaru,100,BR,1582168712,95,-10.44,-62.47,75.06,3.09
6,Busselton,0,AU,1582168712,20,-33.65,115.33,89.01,12.97
7,Tasiilaq,68,GL,1582168712,73,65.61,-37.64,21.2,2.24
8,Vao,47,NC,1582168712,73,-22.67,167.48,79.18,8.23
9,Somvarpet,0,IN,1582168713,64,12.6,75.87,66.9,5.08
10,Kushmurun,95,KZ,1582168497,90,52.45,64.63,18.61,16.28
11,Nome,90,US,1582168713,78,64.5,-165.41,8.6,4.7
12,Gucheng,98,CN,1582168714,33,35.91,111.32,48.06,2.64
13,Tiksi,100,RU,1582168714,84,71.69,128.87,-3.59,10.49
14,Banjarmasin,65,ID,1582168714,64,-3.32,114.59,86.47,5.55
15,Hermanus,71,ZA,1582168714,97,-34.42,19.23,66.0,13.89
16,Le Mans,90,FR,1582168714,87,48.0,0.2,48.2,6.93
17,Gambiran,100,ID,1582168715,91,-6.8,111.5,75.38,6.98
18,Nikolskoye,90,RU,1582168715,93,59.7,30.79,36.0,4.47
19,Tibati,24,CM,1582168715,26,6.47,12.63,61.66,3.2
20,Waingapu,100,ID,1582168715,77,-9.66,120.26,83.3,14.88
21,Kaniama,100,CD,1582168715,97,-7.57,24.18,65.91,2.17
22,Liusha,100,CN,1582168716,81,27.21,108.59,46.54,3.96
23,Mataura,91,NZ,1582168707,58,-46.19,168.86,73.15,7.96
24,Guipavas,90,FR,1582168716,87,48.44,-4.4,48.2,23.04
25,Kavieng,0,PG,1582168716,73,-2.57,150.8,83.61,12.08
26,Weihe,100,CN,1582168717,43,33.0,105.32,36.63,9.6
27,Sampit,41,ID,1582168717,57,-2.53,112.95,89.49,4.0
28,Peniche,5,PT,1582168717,100,39.36,-9.38,54.0,3.36
29,Santa Maria,36,BR,1582168717,100,-29.68,-53.81,66.2,2.24
30,Sabzevar,100,IR,1582168449,41,36.21,57.68,43.2,3.24
31,Qaanaaq,0,GL,1582168718,52,77.48,-69.36,-12.44,3.96
32,Reconquista,90,AR,1582168718,55,-29.15,-59.65,69.48,4.74
33,Hithadhoo,55,MV,1582168718,78,-0.6,73.08,83.34,16.64
34,Butaritari,100,KI,1582168718,81,3.07,172.79,82.9,14.63
35,Tahta,0,EG,1582168719,61,26.77,31.5,50.0,4.7
36,Chapais,1,CA,1582168661,75,49.78,-74.85,-18.4,3.36
37,Albany,75,US,1582168577,45,42.6,-73.97,26.6,8.05
38,Dingle,100,PH,1582168719,82,11.0,122.67,76.5,17.9
39,Mogzon,100,RU,1582168720,80,51.74,111.96,11.44,2.21
40,Bengkulu,5,ID,1582168720,57,-3.8,102.27,86.67,3.13
41,Dikson,100,RU,1582168720,95,73.51,80.55,12.02,9.82
42,Dakoro,0,NE,1582168720,23,14.51,6.76,62.69,12.66
43,East London,100,ZA,1582168720,94,-33.02,27.91,69.8,8.05
44,Lavrentiya,96,RU,1582168720,83,65.58,-171.0,-8.97,9.17
45,Kattivakkam,40,IN,1582168721,69,13.22,80.32,81.0,3.36
46,Bluff,100,NZ,1582168721,51,-46.6,168.33,71.33,7.43
47,Puerto Ayora,27,EC,1582168721,87,-0.74,-90.35,78.15,7.54
48,Srednekolymsk,82,RU,1582168722,95,67.45,153.68,-14.6,5.28
49,Rikitea,21,PF,1582168722,79,-23.12,-134.97,78.62,13.11
50,Port Alfred,35,ZA,1582168722,95,-33.59,26.89,69.01,6.78
51,Sao Filipe,56,CV,1582168722,61,14.9,-24.5,72.28,21.0
52,Antalaha,51,MG,1582168723,77,-14.9,50.28,80.89,7.99
53,Sittwe,0,MM,1582168723,60,20.15,92.9,70.14,2.3
54,Yellowknife,75,CA,1582168723,84,62.46,-114.35,8.6,10.29
55,Deputatsky,100,RU,1582168723,93,69.3,139.9,-4.32,3.58
56,Marrakesh,26,MA,1582168723,76,31.63,-8.01,51.48,1.01
57,Katsuura,75,JP,1582168724,50,35.13,140.3,55.99,3.36
58,Jamestown,90,US,1582168589,73,42.1,-79.24,27.0,5.82
59,Bichena,60,ET,1582168724,58,10.45,38.2,55.31,4.14
60,Ojinaga,90,MX,1582168724,76,29.57,-104.42,57.2,3.4
61,Brewster,1,US,1582168724,46,41.4,-73.62,35.6,4.7
62,Dunedin,95,NZ,1582168633,75,-45.87,170.5,64.0,3.0
63,Muros,40,ES,1582168725,100,42.78,-9.06,46.0,6.93
64,Pevek,100,RU,1582168725,98,69.7,170.31,-14.46,5.28
65,Avera,90,US,1582168725,88,33.19,-82.53,53.6,11.41
66,Cape Town,75,ZA,1582168492,100,-33.93,18.42,69.01,18.34
67,Kalakamati,33,BW,1582168726,83,-20.59,27.31,63.68,6.49
68,Porto-Novo,20,BJ,1582168677,88,6.5,2.6,82.4,2.24
69,Omboue,100,GA,1582168726,95,-1.57,9.26,75.36,3.13
70,Barrow,90,US,1582168502,77,71.29,-156.79,-2.2,6.93
71,Abu Samrah,0,SY,1582168726,90,35.3,37.18,46.49,11.16
72,Khatanga,0,RU,1582168706,83,71.97,102.5,-11.25,3.94
73,Hilo,90,US,1582168727,83,19.73,-155.09,73.0,12.57
74,Mubende,19,UG,1582168727,95,0.56,31.39,62.96,1.48
75,Salinas,1,US,1582168727,81,36.68,-121.66,57.99,5.82
76,Mar del Plata,20,AR,1582168511,63,-38.0,-57.56,63.0,10.29
77,Boyolangu,100,ID,1582168727,87,-8.12,111.89,77.67,4.38
78,Punta Arenas,75,CL,1582168728,68,-53.15,-70.92,46.4,10.29
79,Hong Kong,20,HK,1582168518,45,22.29,114.16,69.01,10.29
